sector,value_millions
Agriculture,233700
Mining & Utilities,492000
Construction,993400
Mfg — Durable,1371800
Mfg — Non-Durable,790200
Wholesale Trade,1202800
Retail Trade,1213700
Transportation & Whsg.,753100
Information,1198400
Finance & Real Estate,5068700
Professional Services,2204500
Admin & Waste Services,731800
Education & Health,2244400
Arts & Accommodation,994200
Other Services & Gov,3862400
