sector,value_millions
Agriculture,464200
Mining & Utilities,1031800
Construction,1872400
Mfg — Durable,3421600
Mfg — Non-Durable,3190200
Wholesale Trade,2391700
Retail Trade,2088400
Transportation & Whsg.,1512300
Information,2155700
Finance & Real Estate,7321500
Professional Services,3289100
Admin & Waste Services,1256100
Education & Health,3298400
Arts & Accommodation,1702800
Private Other Services,812000
Federal Gov & Defense,1083000
State & Local Gov,3263300
